"ADM3_PCODE","N","S1","S2","S3"
"200704","624","39831","23199","6378"
"200705","458","47034","39266","3900"
"200706","73","170925","10106","1815"
"200707","375","5612","26160","4403"
"200708","81","145333","22279","0"
"200901","87","9651","7757","366"
"200902","23","9767","14545","885"
"200903","43","33333","3490","2177"
"200904","308","14664","17073","2580"
"200905","801","0","0","0"
"201001","316","67241","11855","7568"
"201002","625","3252","7355","2548"
"201003","1102","26594","2811","1033"
"201004","347","64694","4665","701"
"201005","830","878","30610","5248"
"201006","489","8771","19892","5404"
"201101","1329","15302","43614","12630"
"201102","817","25000","1725","269"
"210102","0","0","3618","10"
"210103","30","12587","5516","60"
"210105","0","1269","6815","189"
"210106","101","14548","9546","617"
"210107","60","18410","1495","114"
"210108","109","34457","2685","73"
"210109","67","1864","0","787"
"210110","16","67755","17018","44"
"210111","166","13856","1007","688"
"210112","0","11396","3265","27"
"210113","1247","6700","9994","7151"
"210114","83","14632","344","1521"
"210115","20","54731","9325","52"
"210201","495","12392","5613","9963"
"210202","164","0","453","2703"
"210203","0","1934","2997","9021"
"210301","637","22501","3102","388"
"210302","325","31065","8984","98"
"210303","32","0","17177","48"
"210304","48","0","7037","28"
"210305","103","0","5278","37"
"210306","146","5463","14547","300"
"210307","124","26893","720","80"
"210308","579","9119","3207","837"
"210309","1483","0","13180","1257"
"210310","363","0","6690","2005"
"210311","149","0","1797","258"
"210312","52","0","321","95"
"210313","73","0","670","0"
"210317","10","19595","13218","53"
"210318","56","17166","15537","14"
"210401","172","32142","2456","77"
"210402","723","69548","2755","1668"
"210403","105","82267","3634","2769"
"210404","356","45448","6174","1125"
"210501","42","17234","0","0"
"210502","0","112374","0","163"
"210503","0","65024","0","0"
"210504","107","26052","3173","0"
"210505","173","107586","7578","2180"
"210506","1483","146509","0","1966"
"210507","8","58128","0","15"
"210601","8","117712","0","593"
"210602","10","134309","0","1104"
"210603","270","115566","0","1613"
"210604","0","105658","4915","989"
"210605","0","143321","6384","476"
"210606","797","142361","907","2311"
"210701","47","1736","17071","207"
"210702","0","9749","0","100"
"210703","124","13373","9600","452"
"210704","0","2846","0","94"
"210801","0","50235","12001","227"
"210802","225","64099","6257","744"
"210803","0","58800","35070","395"
"210804","127","42692","31077","465"
"220109","0","0","0","73"
"220202","3057","0","0","589"
"220207","255","0","0","128"
"220208","24","0","0","7"
"220209","34","0","0","339"
"220210","15","0","0","62"
"220211","0","0","0","228"
"220212","43","0","0","269"
"220307","0","0","79097","66"
"220308","0","0","89430","0"
"220309","0","0","123646","555"
"220311","0","0","11447","0"
"220312","0","0","2851","0"
"220314","0","0","2945","0"
"220324","1835","0","72282","5689"
"220401","2136","0","79453","2190"
"220402","3234","0","60411","10658"
"220404","5083","0","105334","1581"
"220409","6670","0","17912","6926"
"220410","2451","0","961","12527"
"220503","50","0","0","644"
"220504","208","0","0","12"
"220506","106","0","0","428"
"220508","24","0","0","7"
"220701","1865","0","35464","0"
